"distance","structure","question","participant","cond__","cats__","effect1__","effect2__","estimate__","se__","lower__","upper__"
92.1010101010101,"elliptical",NA,NA,"1","elliptical",92.1010101010101,"elliptical",3.89888924006833e-05,3.89983015568293e-05,2.6723236510577e-06,0.000232413785423809
94.0606060606061,"elliptical",NA,NA,"1","elliptical",94.0606060606061,"elliptical",3.20535151997476e-05,3.23971360183573e-05,2.05550799455055e-06,0.000194216982345899
96.020202020202,"elliptical",NA,NA,"1","elliptical",96.020202020202,"elliptical",2.63513083129554e-05,2.69034649733733e-05,1.58116980071925e-06,0.000162300332267358
97.979797979798,"elliptical",NA,NA,"1","elliptical",97.979797979798,"elliptical",2.16630994303235e-05,2.26851744663204e-05,1.21637236151528e-06,0.000135631021114337
99.9393939393939,"elliptical",NA,NA,"1","elliptical",99.9393939393939,"elliptical",1.78086508770795e-05,1.88441504382687e-05,9.35799338311965e-07,0.000113346084288642
101.89898989899,"elliptical",NA,NA,"1","elliptical",101.89898989899,"elliptical",1.46397470626905e-05,1.55114733537883e-05,7.1999014011877e-07,9.47244884674166e-05
103.858585858586,"elliptical",NA,NA,"1","elliptical",103.858585858586,"elliptical",1.19575949348733e-05,1.27664690228984e-05,5.53984302149823e-07,7.91637960407053e-05
105.818181818182,"elliptical",NA,NA,"1","elliptical",105.818181818182,"elliptical",9.64879819621035e-06,1.05058636559506e-05,4.26279977808114e-07,6.61606621891363e-05
107.777777777778,"elliptical",NA,NA,"1","elliptical",107.777777777778,"elliptical",7.78806780374684e-06,8.6444589484052e-06,3.28033691987998e-07,5.52945366260875e-05
109.737373737374,"elliptical",NA,NA,"1","elliptical",109.737373737374,"elliptical",6.28295239512254e-06,7.11198366042552e-06,2.52445416471961e-07,4.62140444259642e-05
111.69696969697,"elliptical",NA,NA,"1","elliptical",111.69696969697,"elliptical",5.02612104694001e-06,5.69094016443354e-06,1.94286010831631e-07,3.86256062180338e-05
113.656565656566,"elliptical",NA,NA,"1","elliptical",113.656565656566,"elliptical",4.0443320009887e-06,4.5858571037724e-06,1.49534038841847e-07,3.22839299659851e-05
115.616161616162,"elliptical",NA,NA,"1","elliptical",115.616161616162,"elliptical",3.2787611299266e-06,3.73156606088845e-06,1.15096622337764e-07,2.69840667989653e-05
117.575757575758,"elliptical",NA,NA,"1","elliptical",117.575757575758,"elliptical",2.6581041266372e-06,3.04667953074197e-06,8.85948697920061e-08,2.25547737880035e-05
119.535353535354,"elliptical",NA,NA,"1","elliptical",119.535353535354,"elliptical",2.15493413080174e-06,2.49388132914599e-06,6.81989285477321e-08,1.88529687560771e-05
121.494949494949,"elliptical",NA,NA,"1","elliptical",121.494949494949,"elliptical",1.74701390475127e-06,2.04127049151891e-06,5.2501174446432e-08,1.5759097503784e-05
123.454545454545,"elliptical",NA,NA,"1","elliptical",123.454545454545,"elliptical",1.41631422864845e-06,1.67071192755e-06,4.04187136832567e-08,1.31732633465013e-05
125.414141414141,"elliptical",NA,NA,"1","elliptical",125.414141414141,"elliptical",1.14821787139769e-06,1.3673487374006e-06,3.11184157232715e-08,1.11021994096448e-05
127.373737373737,"elliptical",NA,NA,"1","elliptical",127.373737373737,"elliptical",9.30874076277807e-07,1.11901052072528e-06,2.39592662598915e-08,9.35765079388306e-06
129.333333333333,"elliptical",NA,NA,"1","elliptical",129.333333333333,"elliptical",7.54675118956846e-07,9.15728303327269e-07,1.84480354499516e-08,7.88710183867692e-06
131.292929292929,"elliptical",NA,NA,"1","elliptical",131.292929292929,"elliptical",6.11831866067607e-07,7.49336905930501e-07,1.42051834348356e-08,6.64753939080806e-06
133.252525252525,"elliptical",NA,NA,"1","elliptical",133.252525252525,"elliptical",4.96029619957954e-07,6.1314902095073e-07,1.09386372679203e-08,5.60269908431934e-06
135.212121212121,"elliptical",NA,NA,"1","elliptical",135.212121212121,"elliptical",4.02149070453547e-07,5.01688088464228e-07,8.42362058335494e-09,4.72200704328397e-06
